Time,KUALA TERENGGANU,SIMPANG JERAM,PULAI,PELANGAI,JEPAK,KEMAMAN,KUALA KUBU BAHARU,SUNGAI BAKAP,NENGGIRI,MAHKOTA
9:00 AM,16,9,7,10,13,9,9.72,8.88,10.9,8.89
10:00 AM,19,18,13,21,22,18,18,16.74,25.66,16.56
11:00 AM,30,26,19,32,29,27,26,24,40.43,23.39
12:00 PM,39,33,24,44,33,35,32.51,31.84,51.03,29.08
1:00 PM,47,39,29,53,37,42,38.88,38.28,58.79,33.97
2:00 PM,52,44,33,59,41,48,44.68,44.59,63.58,38.53
3:00 PM,59,51,38,65,45,55,50.87,51.32,68.21,43.44
4:00 PM,67,56,42,69,45.44,60,55.79,57.77,71.87,47.16
6:00 PM,,60.2,46.8,71.84,,,61.5,63.35,73.01,
Finalized Count,73.34,60.85,47.33,72.12,48.57,65.76,61.51,63.45,73.88,53.48
